"","X","long","lat","survivors","direction","group"
"1",1,24,54.9,340000,"A",1
"2",2,24.5,55,340000,"A",1
"3",3,25.5,54.5,340000,"A",1
"4",4,26,54.7,320000,"A",1
"5",5,27,54.8,300000,"A",1
"6",6,28,54.9,280000,"A",1
"7",7,28.5,55,240000,"A",1
"8",8,29,55.1,210000,"A",1
"9",9,30,55.2,180000,"A",1
"10",10,30.3,55.3,175000,"A",1
"11",11,32,54.8,145000,"A",1
"12",12,33.2,54.9,140000,"A",1
"13",13,34.4,55.5,127100,"A",1
"14",14,35.5,55.4,100000,"A",1
"15",15,36,55.5,100000,"A",1
"16",16,37.6,55.8,100000,"A",1
"17",17,37.7,55.7,100000,"R",1
"18",18,37.5,55.7,98000,"R",1
"19",19,37,55,97000,"R",1
"20",20,36.8,55,96000,"R",1
"21",21,35.4,55.3,87000,"R",1
"22",22,34.3,55.2,55000,"R",1
"23",23,33.3,54.8,37000,"R",1
"24",24,32,54.6,24000,"R",1
"25",25,30.4,54.4,20000,"R",1
"26",26,29.2,54.3,20000,"R",1
"27",27,28.5,54.2,20000,"R",1
"28",28,28.3,54.3,20000,"R",1
"29",29,27.5,54.5,20000,"R",1
"30",30,26.8,54.3,12000,"R",1
"31",31,26.4,54.4,14000,"R",1
"32",32,25,54.4,8000,"R",1
"33",33,24.4,54.4,4000,"R",1
"34",34,24.2,54.4,4000,"R",1
"35",35,24.1,54.4,4000,"R",1
"36",36,24,55.1,60000,"A",2
"37",37,24.5,55.2,60000,"A",2
"38",38,25.5,54.7,60000,"A",2
"39",39,26.6,55.7,40000,"A",2
"40",40,27.4,55.6,33000,"A",2
"41",41,28.7,55.5,33000,"A",2
"42",42,28.7,55.5,33000,"R",2
"43",43,29.2,54.2,30000,"R",2
"44",44,28.5,54.1,30000,"R",2
"45",45,28.3,54.2,28000,"R",2
"46",46,24,55.2,22000,"A",3
"47",47,24.5,55.3,22000,"A",3
"48",48,24.6,55.8,6000,"A",3
"49",49,24.6,55.8,6000,"R",3
"50",50,24.2,54.4,6000,"R",3
"51",51,24.1,54.4,6000,"R",3
